Organism Latin Name,Level 1 Category,Level 2 Category,KEGG ID,Pathway Name,URL
ath,Metabolism,Global and overview maps,ko01100,Metabolic pathways,https://www.kegg.jp/pathway/ath01100
ath,Metabolism,Global and overview maps,ko01110,Biosynthesis of secondary metabolites,https://www.kegg.jp/pathway/ath01110
ath,Metabolism,Global and overview maps,ko01200,Carbon metabolism,https://www.kegg.jp/pathway/ath01200
ath,Metabolism,Global and overview maps,ko01210,2-Oxocarboxylic acid metabolism,https://www.kegg.jp/pathway/ath01210
ath,Metabolism,Global and overview maps,ko01212,Fatty acid metabolism,https://www.kegg.jp/pathway/ath01212
ath,Metabolism,Global and overview maps,ko01230,Biosynthesis of amino acids,https://www.kegg.jp/pathway/ath01230
ath,Metabolism,Global and overview maps,ko01232,Nucleotide metabolism,https://www.kegg.jp/pathway/ath01232
ath,Metabolism,Global and overview maps,ko01250,Biosynthesis of nucleotide sugars,https://www.kegg.jp/pathway/ath01250
ath,Metabolism,Global and overview maps,ko01240,Biosynthesis of cofactors,https://www.kegg.jp/pathway/ath01240
ath,Metabolism,Global and overview maps,ko01310,Nitrogen cycle,https://www.kegg.jp/pathway/ath01310
ath,Metabolism,Global and overview maps,ko01320,Sulfur cycle,https://www.kegg.jp/pathway/ath01320
ath,Metabolism,Carbohydrate metabolism,ko00010,Glycolysis / Gluconeogenesis,https://www.kegg.jp/pathway/ath00010
ath,Metabolism,Carbohydrate metabolism,ko00020,Citrate cycle (TCA cycle),https://www.kegg.jp/pathway/ath00020
ath,Metabolism,Carbohydrate metabolism,ko00030,Pentose phosphate pathway,https://www.kegg.jp/pathway/ath00030
ath,Metabolism,Carbohydrate metabolism,ko00040,Pentose and glucuronate interconversions,https://www.kegg.jp/pathway/ath00040
ath,Metabolism,Carbohydrate metabolism,ko00051,Fructose and mannose metabolism,https://www.kegg.jp/pathway/ath00051
ath,Metabolism,Carbohydrate metabolism,ko00052,Galactose metabolism,https://www.kegg.jp/pathway/ath00052
ath,Metabolism,Carbohydrate metabolism,ko00053,Ascorbate and aldarate metabolism,https://www.kegg.jp/pathway/ath00053
ath,Metabolism,Carbohydrate metabolism,ko00500,Starch and sucrose metabolism,https://www.kegg.jp/pathway/ath00500
ath,Metabolism,Carbohydrate metabolism,ko00620,Pyruvate metabolism,https://www.kegg.jp/pathway/ath00620
ath,Metabolism,Carbohydrate metabolism,ko00630,Glyoxylate and dicarboxylate metabolism,https://www.kegg.jp/pathway/ath00630
ath,Metabolism,Carbohydrate metabolism,ko00640,Propanoate metabolism,https://www.kegg.jp/pathway/ath00640
ath,Metabolism,Carbohydrate metabolism,ko00650,Butanoate metabolism,https://www.kegg.jp/pathway/ath00650
ath,Metabolism,Carbohydrate metabolism,ko00660,C5-Branched dibasic acid metabolism,https://www.kegg.jp/pathway/ath00660
